loc,title,bedroom,bathroom,parking_space,predicted_price
Yobe,Flat,9,6,1,2477899
Lagos,Townhouse,1,1,1,4552924
Kebbi,Townhouse,6,6,1,2105422
Borno,Flat,6,2,5,1857408
Kaduna,Townhouse,2,6,1,1329274
Nasarawa,Bungalow,5,5,3,1863687
Delta,Semi-detached duplex,1,2,1,1675082
Zamfara,Flat,3,2,2,1327927
Lagos,Terrace duplex,6,7,1,3715615
Benue,Detached duplex,4,4,3,1992803
Bauchi,Bungalow,3,1,6,1288162
Akwa Ibom,Penthouse,4,2,3,3088729
Kogi,Cottage,3,1,4,1192437
Gombe,Apartment,4,1,1,1101621
Zamfara,Townhouse,9,4,3,2820154
Benue,Bungalow,1,2,1,886966
Akwa Ibom,Mansion,2,1,4,3116555
Bayelsa,Terrace duplex,3,1,2,2294177
Ebonyi,Mansion,7,4,2,3616500
Edo,Terrace duplex,5,2,1,2013575
Plateau,Semi-detached duplex,2,6,6,1312730
Zamfara,Flat,8,4,5,2015341
Ebonyi,Penthouse,8,6,5,2980248
Lagos,Flat,7,1,3,4250895
Kebbi,Flat,2,7,1,1025727
Ekiti,Apartment,9,7,3,2767565
Imo,Terrace duplex,6,4,1,2228998
Kebbi,Terrace duplex,7,3,4,2007790
Ebonyi,Flat,2,1,2,1023210
Katsina,Terrace duplex,1,1,1,954685
Taraba,Bungalow,5,6,1,1687239
Ekiti,Flat,4,4,5,1767830
Kaduna,Townhouse,1,2,3,1118939
Kano,Townhouse,4,5,4,2241070
Akwa Ibom,Bungalow,1,2,2,1741486
Oyo,Semi-detached duplex,8,6,6,3401547
Yobe,Terrace duplex,3,2,1,1173225
Enugu,Penthouse,8,7,4,3650443
Osun,Mansion,5,6,3,3741454
Nasarawa,Semi-detached duplex,8,3,6,2653806
Kogi,Bungalow,4,1,1,1180839
Ogun,Detached duplex,2,1,2,1916825
Plateau,Mansion,5,5,6,3611866
Ebonyi,Semi-detached duplex,7,4,4,2259073
Kebbi,Townhouse,9,3,4,2818686
Nasarawa,Apartment,5,5,1,1988543
Cross River,Townhouse,8,4,6,3307526
Jigawa,Apartment,1,2,3,938623
Kogi,Mansion,3,5,1,2555798
Nasarawa,Penthouse,1,1,3,1643355
Bauchi,Mansion,4,1,1,2384032
Taraba,Apartment,3,7,3,1420146
Yobe,Semi-detached duplex,5,1,4,1551462
Plateau,Terrace duplex,5,7,2,2220303
Kebbi,Detached duplex,7,4,3,2447960
Oyo,Flat,3,2,4,1547861
Oyo,Semi-detached duplex,7,5,4,3040215
Benue,Flat,7,1,6,2206398
Yobe,Penthouse,2,6,5,1788733
Benue,Terrace duplex,3,4,4,1385040
Ekiti,Detached duplex,5,2,3,2121041
Zamfara,Bungalow,6,5,6,1691309
Yobe,Mansion,5,7,4,2642179
Ondo,Terrace duplex,7,7,6,2716109
Imo,Apartment,5,1,3,1430432
Nasarawa,Semi-detached duplex,3,4,2,1620144
Katsina,Bungalow,7,7,6,2571704
Imo,Cottage,3,2,4,1416044
Ogun,Semi-detached duplex,4,2,2,1970110
Lagos,Semi-detached duplex,1,1,3,3078242
Zamfara,Semi-detached duplex,2,3,3,1036207
Abia,Penthouse,7,1,1,2760001
Borno,Townhouse,2,3,1,1246751
Anambra,Bungalow,3,4,5,1683230
Ogun,Apartment,5,1,2,2104406
Ondo,Penthouse,7,7,2,3476372
Cross River,Bungalow,4,2,1,1736081
Ekiti,Penthouse,5,2,4,2676647
Gombe,Bungalow,5,1,3,1369397
Edo,Terrace duplex,6,2,6,2538674
Plateau,Townhouse,9,4,1,2774949
Benue,Townhouse,6,2,2,2204271
Gombe,Penthouse,7,4,3,2821482
Kogi,Semi-detached duplex,5,1,3,1381447
Abia,Terrace duplex,9,1,2,2573842
Delta,Bungalow,4,1,4,2152763
Osun,Apartment,1,2,3,1022586
Adamawa,Mansion,4,4,2,2844071
Nasarawa,Flat,3,2,2,1647875
Taraba,Bungalow,8,1,2,2202123
Zamfara,Townhouse,7,7,6,2251025
Sokoto,Penthouse,3,3,5,1686286
Benue,Apartment,4,2,4,1423153
Kogi,Mansion,2,2,4,2233713
Anambra,Semi-detached duplex,7,2,2,2585473
Katsina,Flat,9,3,4,2554433
Gombe,Detached duplex,2,1,3,1386808
Bayelsa,Bungalow,1,4,4,1797471
Yobe,Bungalow,1,1,6,783621
Imo,Bungalow,4,1,2,1454051
Borno,Bungalow,8,4,4,2311760
Imo,Mansion,1,4,2,2134905
Adamawa,Semi-detached duplex,4,7,2,1512204
Anambra,Bungalow,5,7,4,1949541
Nasarawa,Detached duplex,7,4,5,2733902
Zamfara,Terrace duplex,2,1,4,998424
Bayelsa,Townhouse,8,1,3,3621243
Adamawa,Mansion,8,5,3,4809874
Kogi,Detached duplex,9,2,4,3018599
Akwa Ibom,Penthouse,4,1,2,2724051
Cross River,Mansion,8,5,3,5865819
Ebonyi,Semi-detached duplex,4,1,4,1230305
Bauchi,Townhouse,8,7,3,2639709
Abia,Penthouse,7,1,5,2265601
Benue,Flat,2,2,4,1241515
Kano,Detached duplex,9,3,5,3367064
Kano,Townhouse,7,1,1,2549490
Edo,Semi-detached duplex,3,7,3,1746683
Ebonyi,Flat,3,2,2,1064708
Edo,Apartment,4,2,1,1393463
Yobe,Townhouse,1,2,3,1063380
Niger,Townhouse,3,3,6,1595413
Akwa Ibom,Apartment,2,7,2,1528813
Kogi,Flat,7,5,2,2204766
Katsina,Cottage,4,2,4,1237105
Delta,Cottage,3,1,4,1812492
Kogi,Flat,1,5,1,1015401
Ogun,Mansion,9,2,6,6106940
Niger,Townhouse,1,2,3,1102341
Plateau,Mansion,3,1,2,2824743
Katsina,Semi-detached duplex,7,7,1,2544148
Gombe,Penthouse,5,2,3,2286933
Bauchi,Terrace duplex,5,2,2,1405632
Niger,Bungalow,5,6,3,1826893
Akwa Ibom,Bungalow,3,1,4,1935754
Kebbi,Penthouse,5,6,5,2338799
Cross River,Apartment,5,6,4,2237329
Abia,Semi-detached duplex,1,3,4,941553
Rivers,Apartment,7,7,5,2894332
Lagos,Terrace duplex,3,5,4,3134534
Kebbi,Bungalow,4,1,4,934040
Yobe,Townhouse,5,2,6,1882480
Ekiti,Townhouse,6,4,1,2546830
Katsina,Townhouse,4,5,1,2172923
Jigawa,Penthouse,3,2,3,1678235
Taraba,Semi-detached duplex,7,7,1,2585356
Kogi,Semi-detached duplex,9,5,5,2737527
Jigawa,Bungalow,7,2,2,1868634
Ogun,Apartment,6,1,6,2438161
Ogun,Semi-detached duplex,1,3,3,1555881
Taraba,Terrace duplex,6,1,5,2038228
Anambra,Penthouse,5,7,3,3151058
Ondo,Semi-detached duplex,2,2,2,1551251
Kano,Detached duplex,1,4,1,1353945
Nasarawa,Semi-detached duplex,4,1,1,1591725
Jigawa,Terrace duplex,3,2,3,1123175
Taraba,Townhouse,1,7,1,1289454
Bauchi,Semi-detached duplex,1,1,3,917751
Cross River,Mansion,9,7,2,4866674
Benue,Apartment,1,2,1,1113634
Imo,Apartment,6,5,1,2105210
Rivers,Terrace duplex,3,5,2,2268552
Gombe,Penthouse,9,7,3,3506018
Borno,Mansion,9,7,2,3186634
Borno,Apartment,9,4,2,2122531
Sokoto,Terrace duplex,4,1,2,1378107
Borno,Terrace duplex,6,6,1,1996900
Kwara,Detached duplex,4,2,4,1843508
Yobe,Bungalow,3,2,5,1195560
Kano,Flat,5,5,1,1758554
Benue,Cottage,2,1,3,1083335
Yobe,Bungalow,1,1,1,755406
Sokoto,Bungalow,2,5,6,995282
Delta,Semi-detached duplex,2,1,3,1655023
Benue,Terrace duplex,4,2,3,1442360
Ekiti,Flat,9,2,4,2799270
Bayelsa,Flat,6,3,5,3054643
Akwa Ibom,Apartment,3,4,1,1854787
Ekiti,Apartment,6,3,3,1812005
Osun,Apartment,8,3,4,2615616
Bauchi,Townhouse,9,7,5,3445956
Jigawa,Apartment,1,7,5,947128
Ondo,Apartment,2,3,3,1665296
Akwa Ibom,Terrace duplex,2,2,1,1751627
Niger,Penthouse,2,2,4,1949899
Katsina,Detached duplex,2,1,3,1631181
Lagos,Flat,1,7,2,4072113
Niger,Penthouse,2,1,4,1738818
Kwara,Semi-detached duplex,6,5,6,1990705
Ogun,Apartment,4,3,3,2148877
Kaduna,Apartment,5,1,4,1595799
Nasarawa,Penthouse,1,2,4,1918863
Lagos,Apartment,7,3,3,3279099
Ogun,Semi-detached duplex,5,2,4,2286521
Osun,Terrace duplex,8,5,1,3215365
Benue,Penthouse,9,6,1,3918198
Oyo,Terrace duplex,1,1,2,1291189
Benue,Flat,3,2,6,1302637
Kwara,Townhouse,3,2,4,1296553
Kogi,Penthouse,8,5,4,3264856
Edo,Apartment,3,4,1,1294557
Anambra,Penthouse,9,3,1,3734601
Anambra,Terrace duplex,4,1,1,1753062
Sokoto,Townhouse,8,6,4,2512076
Akwa Ibom,Bungalow,2,3,1,1622574
Kaduna,Terrace duplex,3,5,3,1552304
Adamawa,Detached duplex,8,1,4,2944274
Oyo,Bungalow,1,1,3,1110531
Anambra,Townhouse,2,1,3,1558797
Yobe,Terrace duplex,4,2,6,1649704
Taraba,Detached duplex,3,1,3,1721408
Osun,Terrace duplex,4,1,1,1549138
Anambra,Terrace duplex,4,1,5,2076484
Ebonyi,Semi-detached duplex,1,2,4,1022476
Ogun,Detached duplex,7,5,2,3253854
Akwa Ibom,Detached duplex,1,1,1,1756664
Zamfara,Townhouse,4,1,4,1601822
Ogun,Bungalow,4,2,2,1808197
Borno,Detached duplex,4,1,3,1652168
Katsina,Townhouse,5,5,6,2207711
Anambra,Penthouse,4,7,5,3003786
Edo,Penthouse,9,3,5,4161118
Abia,Flat,4,6,4,1914733
Kaduna,Mansion,4,1,1,2389812
Jigawa,Penthouse,1,6,4,1402177
Nasarawa,Penthouse,5,1,2,2394083
Ondo,Penthouse,5,6,1,2671785
Yobe,Penthouse,8,4,5,2829399
Gombe,Cottage,1,1,1,552149
Lagos,Semi-detached duplex,2,1,3,3438397
Bauchi,Semi-detached duplex,3,6,6,1781355
Ogun,Mansion,8,4,5,6075544
Kaduna,Townhouse,1,2,3,1118939
Imo,Semi-detached duplex,9,3,4,3003190
Ondo,Semi-detached duplex,7,1,3,2816892
Plateau,Townhouse,5,1,3,1925247
Niger,Penthouse,2,3,6,1854622
Anambra,Apartment,6,6,6,2374810
Adamawa,Penthouse,1,4,2,1129879
Ondo,Mansion,3,2,2,3661604
Benue,Flat,1,2,3,986876
Niger,Mansion,8,6,1,4712464
Kano,Apartment,1,2,4,903094
Katsina,Apartment,6,6,5,1800529
Bauchi,Semi-detached duplex,8,5,5,2470684
Lagos,Bungalow,4,2,1,3267973
Osun,Apartment,4,2,4,1370988
Kebbi,Terrace duplex,9,1,2,2443715
Plateau,Detached duplex,4,1,1,1762859
Lagos,Mansion,4,6,1,7329779
Kwara,Mansion,5,1,3,2970626
Kebbi,Detached duplex,7,2,5,2244147
Adamawa,Apartment,2,4,6,1042841
Kaduna,Bungalow,5,2,1,1644004
Imo,Townhouse,3,4,5,1992916
Adamawa,Townhouse,9,6,3,3179960
Ekiti,Townhouse,4,1,6,2455614
Bayelsa,Townhouse,6,5,2,3899917
Ebonyi,Flat,2,4,2,1093896
Gombe,Detached duplex,1,1,4,1052769
Kano,Flat,2,1,4,1302459
Kaduna,Mansion,3,1,1,1903130
Niger,Penthouse,3,2,4,1994844
Taraba,Terrace duplex,4,2,4,1528521
Benue,Bungalow,7,6,6,2423565
Bayelsa,Semi-detached duplex,2,3,1,1891068
Yobe,Penthouse,9,7,3,3145182
Taraba,Bungalow,2,2,1,1110806
Osun,Flat,1,2,1,900551
Zamfara,Terrace duplex,3,1,4,1106578
Akwa Ibom,Flat,1,1,4,1563846
Bayelsa,Semi-detached duplex,5,7,4,3572010
Gombe,Semi-detached duplex,9,2,4,2710969
Akwa Ibom,Townhouse,6,5,4,3043202
Oyo,Semi-detached duplex,5,6,3,2410207
Benue,Mansion,2,6,4,2873876
Nasarawa,Detached duplex,3,1,4,2009826
Zamfara,Townhouse,8,3,2,2230266
Bauchi,Terrace duplex,1,2,6,977196
Osun,Detached duplex,2,2,2,1607305
Anambra,Bungalow,2,2,1,1336365
Kebbi,Flat,4,3,5,1248356
Delta,Bungalow,8,4,1,3299942
Osun,Cottage,5,1,4,1885002
Delta,Penthouse,6,1,5,3404167
Oyo,Apartment,3,1,1,1357686
Gombe,Townhouse,5,4,2,1957883
Katsina,Semi-detached duplex,2,1,4,1342704
Yobe,Penthouse,4,5,1,2168794
Taraba,Semi-detached duplex,5,4,6,2046099
Gombe,Mansion,3,4,4,2683361
Lagos,Detached duplex,3,2,4,3679920
Adamawa,Apartment,6,7,6,1918143
Bayelsa,Flat,9,1,3,3428126
Delta,Townhouse,8,3,4,3299663
Delta,Detached duplex,5,2,4,2690025
Enugu,Penthouse,4,1,2,2488152
Ondo,Penthouse,4,1,4,2604979
Niger,Mansion,3,6,4,3216800
Anambra,Townhouse,7,4,3,2947680
Bayelsa,Bungalow,2,6,1,2054292
Ekiti,Penthouse,6,6,2,2826050
Delta,Semi-detached duplex,2,2,3,1747374
Plateau,Townhouse,4,2,2,1880830
Enugu,Detached duplex,5,1,2,2500405
Gombe,Penthouse,1,1,3,1351359
Lagos,Detached duplex,2,6,5,3604324
Gombe,Terrace duplex,6,3,6,2171254
Yobe,Apartment,5,4,6,1460990
Zamfara,Terrace duplex,8,1,5,2057556
Enugu,Detached duplex,7,1,3,2888677
Plateau,Semi-detached duplex,1,1,6,1275096
Anambra,Mansion,1,5,2,3087521
Kwara,Bungalow,5,1,2,1406125
Cross River,Flat,1,1,4,1224897
Borno,Mansion,6,3,1,2907319
Anambra,Mansion,7,3,5,4328742
Taraba,Penthouse,4,7,5,2635234
Adamawa,Terrace duplex,8,1,5,2354191
Kwara,Townhouse,1,3,1,999635
Kogi,Semi-detached duplex,2,1,1,1001634
Kaduna,Flat,9,4,1,2444678
Taraba,Detached duplex,1,3,1,1395179
Sokoto,Townhouse,9,6,2,2733133
Oyo,Townhouse,4,7,1,2144825
Lagos,Semi-detached duplex,5,7,2,3149135
Nasarawa,Apartment,9,4,1,2498956
Taraba,Apartment,4,2,3,1459699
Ogun,Semi-detached duplex,5,6,4,3214724
Plateau,Apartment,1,1,3,799419
Rivers,Semi-detached duplex,5,2,3,2388099
Yobe,Mansion,4,1,4,2536660
Kebbi,Bungalow,4,6,5,1710906
Ebonyi,Semi-detached duplex,2,1,3,1006862
Lagos,Mansion,9,4,6,8439196
Yobe,Penthouse,9,3,2,3150319
Nasarawa,Mansion,5,5,1,4058468
Kwara,Detached duplex,8,7,2,2917151
Bauchi,Flat,7,4,2,1874775
Niger,Semi-detached duplex,1,1,6,1713066
Cross River,Penthouse,1,7,3,2297276
Bayelsa,Townhouse,1,1,1,1895417
Bayelsa,Penthouse,4,7,6,3940930
Kwara,Terrace duplex,8,7,2,2843592
Borno,Bungalow,5,2,4,1466871
Imo,Detached duplex,4,2,1,2305515
Oyo,Flat,5,5,3,2106745
Kwara,Bungalow,4,2,2,1284018
Katsina,Mansion,4,1,6,3000778
Nasarawa,Flat,5,1,3,1454900
Niger,Townhouse,1,1,6,1601644
Edo,Cottage,1,1,4,1287509
Akwa Ibom,Mansion,6,7,5,5107321
Bauchi,Cottage,5,1,2,1459163
Ogun,Penthouse,4,2,4,3128695
Gombe,Flat,2,4,5,1266835
Imo,Bungalow,3,4,1,1610877
Kebbi,Flat,2,1,4,929332
Niger,Penthouse,5,2,1,2261123
Anambra,Terrace duplex,3,6,2,1768694
Jigawa,Detached duplex,7,6,3,2488711
Ogun,Semi-detached duplex,6,7,2,2894938
Ebonyi,Bungalow,3,2,1,1009533
Kwara,Townhouse,9,1,4,2691733
Bauchi,Apartment,4,3,1,1434297
Kogi,Townhouse,4,2,1,1434702
Yobe,Townhouse,5,2,1,1692572
Ogun,Cottage,3,1,3,1841865
Ogun,Flat,1,2,1,1366667
Katsina,Penthouse,3,2,1,1927571
Kwara,Bungalow,3,1,4,1445681
Edo,Townhouse,4,2,1,1894346
Benue,Bungalow,5,5,4,1950956
Jigawa,Flat,1,2,2,931037
Borno,Semi-detached duplex,4,7,2,1626096
Taraba,Terrace duplex,2,4,4,1391521
Plateau,Penthouse,2,1,3,1766041
Rivers,Bungalow,1,2,1,1701119
Ekiti,Cottage,4,1,4,1338532
Edo,Flat,2,2,2,1448779
Anambra,Townhouse,7,7,2,2666008
Anambra,Terrace duplex,8,7,5,3500028
Kaduna,Mansion,3,2,1,2392232
Enugu,Semi-detached duplex,3,1,3,1464543
Lagos,Cottage,1,2,3,2727549
Kwara,Terrace duplex,1,3,3,953768
Rivers,Penthouse,1,5,5,2463637
Taraba,Bungalow,5,5,2,1590514
Rivers,Penthouse,5,7,5,4023988
Akwa Ibom,Mansion,5,1,2,4673863
Yobe,Penthouse,2,4,6,1602784
Enugu,Apartment,4,4,6,1806639
Katsina,Mansion,2,6,2,2497577
Imo,Penthouse,4,1,2,2190118
Bayelsa,Penthouse,9,2,6,5549481
Rivers,Bungalow,8,3,6,3455824
Kwara,Flat,5,1,6,1473934
Benue,Bungalow,9,2,2,2239493
Akwa Ibom,Mansion,1,1,2,3216374
Ekiti,Semi-detached duplex,4,1,3,1697696
Adamawa,Semi-detached duplex,3,1,3,1332658
Kogi,Semi-detached duplex,3,6,1,1311514
Kaduna,Detached duplex,3,4,4,1833102
Niger,Apartment,3,1,2,1038723
Osun,Detached duplex,3,7,6,2059096
Ondo,Flat,1,6,2,1416897
Cross River,Townhouse,3,3,2,1913778
Imo,Flat,3,7,1,1565987
Oyo,Apartment,6,1,3,1898300
Sokoto,Apartment,2,1,4,1063187
Ondo,Penthouse,2,1,3,2274027
Sokoto,Townhouse,2,5,3,1178408
Kogi,Penthouse,2,3,5,1742242
Kwara,Townhouse,6,7,4,2371998
Bauchi,Detached duplex,9,7,1,2937332
Ondo,Townhouse,5,1,5,2432776
Nasarawa,Semi-detached duplex,4,2,2,1850145
Anambra,Cottage,4,2,3,1549673
Ekiti,Flat,8,5,1,2532996
Adamawa,Terrace duplex,5,1,3,1579216
Lagos,Semi-detached duplex,5,1,4,3439566
Oyo,Mansion,3,5,2,3453915
Ekiti,Mansion,9,6,6,5451702
Kebbi,Bungalow,6,1,2,1434010
Cross River,Penthouse,3,1,3,2308635
Bayelsa,Detached duplex,3,3,6,2192751
Kogi,Terrace duplex,1,6,3,1205690
Anambra,Apartment,3,2,1,1500888
Sokoto,Apartment,6,7,2,1332749
Cross River,Apartment,2,2,3,1440022
Kano,Mansion,6,3,1,3163197
Osun,Penthouse,2,2,4,2096755
Taraba,Flat,7,6,6,2253610
Zamfara,Flat,3,2,1,1119508
Cross River,Semi-detached duplex,4,2,2,2127813
Delta,Mansion,3,1,6,2801862
Kebbi,Detached duplex,5,5,1,1823851
Imo,Bungalow,4,1,4,1571854
Niger,Townhouse,8,2,2,2736348
Ondo,Flat,9,4,5,2971468
Imo,Apartment,8,3,1,2664043
Kwara,Flat,8,6,2,2393637
Niger,Penthouse,9,6,1,3262328
Cross River,Semi-detached duplex,1,1,1,1238946
Benue,Bungalow,3,1,3,1288194
Osun,Detached duplex,6,4,6,2723624
Niger,Cottage,2,2,3,1019590
Oyo,Bungalow,2,1,1,1336825
Abia,Semi-detached duplex,7,7,5,2529738
Edo,Penthouse,1,4,6,1907807
Bauchi,Penthouse,4,3,1,2058165
Zamfara,Terrace duplex,1,1,5,641072
Plateau,Bungalow,3,4,2,1361336
Ondo,Penthouse,1,5,6,2195378
Sokoto,Semi-detached duplex,5,2,1,1341874
Gombe,Townhouse,3,1,4,1464297
Kano,Flat,4,2,1,1395200
Ondo,Mansion,4,4,1,3391920
Kaduna,Mansion,8,1,6,4596832
Delta,Bungalow,3,2,4,1813153
Benue,Bungalow,5,1,3,1724143
Bayelsa,Terrace duplex,2,2,1,1949864
Ogun,Terrace duplex,3,2,2,1852025
Akwa Ibom,Detached duplex,4,1,2,2521112
Jigawa,Detached duplex,2,2,1,1343321
Delta,Detached duplex,9,6,2,4181310
Bayelsa,Penthouse,8,4,2,4692304
Bauchi,Flat,3,2,1,1131388
Borno,Penthouse,7,6,4,2704817
Cross River,Flat,3,2,1,1454922
Bayelsa,Semi-detached duplex,7,2,2,3358101
Borno,Bungalow,6,4,6,1908328
Abia,Apartment,7,1,5,1712186
Jigawa,Bungalow,3,2,2,1127225
Lagos,Mansion,9,5,4,6858794
Katsina,Terrace duplex,8,7,3,2664882
Akwa Ibom,Apartment,3,2,1,1948850
Ebonyi,Mansion,9,2,4,4084835
Abia,Terrace duplex,9,6,3,2727993
Kebbi,Townhouse,2,1,2,1095529
Abia,Cottage,5,1,4,1863016
Ebonyi,Townhouse,3,3,1,1257963
Jigawa,Detached duplex,2,2,1,1343321
Ebonyi,Bungalow,5,2,4,1422433
Kaduna,Terrace duplex,4,1,3,1604290
Ebonyi,Terrace duplex,1,2,6,974354
Sokoto,Mansion,5,5,5,2249176
Ebonyi,Penthouse,1,1,2,1247140
Sokoto,Semi-detached duplex,7,2,2,2139115
Gombe,Detached duplex,5,7,2,2296298
Imo,Mansion,8,3,5,4522835
Kebbi,Penthouse,4,2,3,1563341
Abia,Semi-detached duplex,3,1,2,1433575
Akwa Ibom,Penthouse,7,6,3,3901526
Adamawa,Semi-detached duplex,4,2,4,1513903
Taraba,Townhouse,1,1,4,1160470
Zamfara,Terrace duplex,1,3,4,982580
Bayelsa,Detached duplex,8,2,4,3964324
Imo,Mansion,5,1,1,2974575
Adamawa,Terrace duplex,2,5,5,1543316
Edo,Bungalow,7,1,2,2607874
Akwa Ibom,Apartment,5,6,3,2299857
Niger,Apartment,7,6,3,2230350
Ebonyi,Bungalow,3,3,4,1135424
Akwa Ibom,Penthouse,7,4,4,3906819
Enugu,Detached duplex,8,2,6,3331701
Sokoto,Townhouse,7,2,6,2362852
Cross River,Townhouse,4,5,5,2704065
Ekiti,Apartment,4,1,4,1361248
Bauchi,Terrace duplex,3,7,4,1702471
Abia,Terrace duplex,4,1,3,1320971
Kano,Townhouse,8,5,3,3003479
Borno,Detached duplex,7,2,6,2582129
Abia,Flat,1,1,4,840094
Lagos,Townhouse,3,6,2,4135338
Anambra,Cottage,3,2,2,1432874
Lagos,Detached duplex,6,3,6,3127803
Anambra,Bungalow,6,6,6,2481453
Zamfara,Mansion,5,1,5,2192056
Kano,Bungalow,5,7,3,2178715
Rivers,Bungalow,8,4,6,3534224
Niger,Semi-detached duplex,3,1,1,1148627
Akwa Ibom,Townhouse,1,2,3,1753830
Kaduna,Detached duplex,3,5,5,1827792
Ekiti,Detached duplex,1,7,5,1640342
Nasarawa,Terrace duplex,5,2,3,1893974
Borno,Apartment,5,2,2,1271119
Cross River,Bungalow,4,5,5,2159888
Akwa Ibom,Bungalow,5,3,1,2315989
Jigawa,Flat,8,4,3,1985563
Ogun,Flat,8,2,3,2884067
Benue,Semi-detached duplex,4,4,4,1773955
Imo,Mansion,1,2,4,2370200
Abia,Mansion,6,3,6,3388517
Sokoto,Detached duplex,9,5,1,2796508
Bayelsa,Mansion,1,1,1,3486484
Ekiti,Bungalow,6,4,4,2055130
Kaduna,Bungalow,5,2,2,1568333
Oyo,Penthouse,1,1,2,1823030
Edo,Mansion,7,2,2,4811102
Bauchi,Penthouse,9,7,1,2967336
Rivers,Detached duplex,4,5,5,2804132
Katsina,Bungalow,3,4,6,1546807
Sokoto,Flat,2,1,2,867848
Oyo,Townhouse,8,1,5,2892161
Ondo,Penthouse,6,7,3,3363925
Ogun,Penthouse,7,4,3,3799571
Sokoto,Bungalow,4,5,5,1408403
Gombe,Penthouse,3,1,2,1616818
Niger,Detached duplex,2,2,6,1475823
Ebonyi,Cottage,1,1,1,675268
Zamfara,Detached duplex,1,2,3,1469925
Plateau,Bungalow,6,2,1,1536467
Rivers,Bungalow,5,5,3,2554091
Plateau,Cottage,4,1,4,1354574
Sokoto,Detached duplex,2,2,1,1278281
Adamawa,Semi-detached duplex,9,7,1,2829122
Lagos,Detached duplex,6,3,2,3549752
Ebonyi,Townhouse,3,2,2,1368703
Kano,Flat,7,2,3,2353059
Kebbi,Penthouse,1,2,2,1155212
Kebbi,Apartment,4,7,6,1898694
Edo,Terrace duplex,4,1,2,1912329
Nasarawa,Semi-detached duplex,7,4,2,2396745
Kebbi,Townhouse,6,2,6,2088985
Delta,Townhouse,2,1,3,1811704
Niger,Penthouse,1,2,4,1660796
Kogi,Apartment,2,1,1,829700
Lagos,Flat,1,2,4,3018769
Lagos,Townhouse,4,2,2,3218254
Delta,Semi-detached duplex,4,2,2,2393211
Lagos,Apartment,4,2,4,3045885
Katsina,Apartment,1,7,2,736707
Lagos,Flat,3,1,2,2728447
Ekiti,Detached duplex,6,2,5,2670820
Kogi,Bungalow,4,2,4,1372197
Kebbi,Penthouse,5,2,3,1923710
Ekiti,Mansion,4,1,4,3111415
Nasarawa,Flat,8,7,1,2520131
Abia,Mansion,4,2,1,2616329
Borno,Detached duplex,6,6,5,2427690
Kebbi,Penthouse,2,7,6,1884482
Oyo,Townhouse,9,1,5,3107705
Katsina,Apartment,5,1,4,1549652
Nasarawa,Semi-detached duplex,4,1,1,1591725
Sokoto,Detached duplex,4,3,1,1495855
Adamawa,Bungalow,1,1,4,1018574
Anambra,Detached duplex,1,2,2,1665399
Bayelsa,Semi-detached duplex,4,1,4,2645094
Cross River,Flat,7,5,1,2885378
Ondo,Penthouse,9,5,5,3874194
Ekiti,Mansion,5,7,1,3623395
Ondo,Flat,4,5,2,1902799
Ogun,Semi-detached duplex,8,7,6,3906062
Oyo,Cottage,5,2,2,1879074
Anambra,Bungalow,3,1,4,1476368
Abia,Terrace duplex,2,1,2,1140091
Katsina,Flat,4,1,4,1484739
Adamawa,Semi-detached duplex,4,4,1,1688232
Ondo,Semi-detached duplex,3,2,4,1712171
Kogi,Bungalow,5,5,6,1809193
Delta,Flat,9,6,5,3506373
Kano,Detached duplex,9,1,6,3423007
Bayelsa,Cottage,5,2,3,2376980
Gombe,Semi-detached duplex,2,1,1,1124108
Benue,Mansion,1,4,6,1936599
Plateau,Townhouse,8,3,1,2655902
Delta,Mansion,5,6,2,4925072
Jigawa,Townhouse,9,3,1,2566822
Adamawa,Semi-detached duplex,2,1,2,1197866
Osun,Terrace duplex,1,1,1,944002
Enugu,Townhouse,7,1,2,2739798
Gombe,Apartment,3,1,1,1279268
Jigawa,Mansion,5,1,4,2496064
Yobe,Terrace duplex,9,1,1,2879567
Oyo,Bungalow,5,4,6,2292048
Kebbi,Flat,5,3,6,1472376
Jigawa,Townhouse,4,2,3,1575914
Enugu,Apartment,8,1,2,3295885
Oyo,Cottage,4,1,2,1477346
Imo,Mansion,2,1,6,2670245
Imo,Bungalow,2,1,6,1466085
Imo,Cottage,5,2,4,1870987
Taraba,Bungalow,7,3,6,2174386
Ekiti,Apartment,3,4,4,1423484
Bayelsa,Apartment,6,1,2,2916654
Kwara,Semi-detached duplex,8,6,5,2462974
Borno,Mansion,5,7,3,3323440
Yobe,Bungalow,6,7,2,1653218
Nasarawa,Detached duplex,2,1,3,1659889
Ondo,Mansion,5,6,1,3574172
Osun,Townhouse,8,4,2,3367676
Edo,Detached duplex,5,1,4,2443737
Borno,Terrace duplex,1,5,4,915377
Nasarawa,Cottage,3,1,2,1448444
Adamawa,Semi-detached duplex,3,1,6,1651747
Borno,Detached duplex,1,7,4,1205472
Kebbi,Flat,4,2,4,924041
Niger,Penthouse,5,1,3,2221081
Taraba,Flat,4,5,4,1823063
Plateau,Penthouse,3,7,2,2283066
Ekiti,Detached duplex,2,1,1,1401539
Borno,Semi-detached duplex,4,2,3,1318051
Kebbi,Flat,1,3,2,638933
Edo,Detached duplex,1,1,2,1568323
Ogun,Bungalow,1,2,3,1301552
Ogun,Apartment,7,1,1,2547087
